timestamp,symbol,action,price,qty,cash_after,reason
2026-09-08T09:47:28.538539+00:00,AERO/USD,BUY,0.647800,30.873726,833.28,MA Golden Cross | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0087)
2026-09-08T13:56:48.767704+00:00,BTR/USD,SELL,0.049440,3203.821172,991.68,Take-profit (%5) | PnL: 7.79 (5.17%)
2026-09-08T13:56:48.767780+00:00,NIGHT/USD,SELL,0.022880,866.926745,1011.51,MA Death Cross | PnL: -0.16 (-0.82%)
2026-09-08T13:56:48.767801+00:00,MORPHO/USD,SELL,2.392700,4.306405,1021.82,Stop-loss (%3) | PnL: -0.36 (-3.39%)
2026-09-08T13:56:48.767819+00:00,STRK/USD,SELL,0.029840,235.913026,1028.86,Stop-loss (%3) | PnL: -0.38 (-5.15%)
2026-09-08T13:56:48.767837+00:00,FET/USD,SELL,0.178000,108.636611,1048.19,Stop-loss (%3) | PnL: -0.66 (-3.31%)
2026-09-08T13:56:48.767853+00:00,AERO/USD,SELL,0.623400,30.873726,1067.44,Stop-loss (%3) | PnL: -0.75 (-3.77%)
2026-09-08T13:56:48.767903+00:00,TON/USD,BUY,1.387000,14.419611,1047.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0031)
2026-09-08T13:56:48.767924+00:00,HBAR/USD,BUY,0.079840,250.501002,1027.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0033)
2026-09-08T13:56:48.767940+00:00,BCH/USD,BUY,253.560000,0.078877,1007.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0042)
2026-09-08T13:56:48.767970+00:00,XDC/USD,BUY,0.028440,703.234880,987.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0046)
2026-09-08T13:56:48.767983+00:00,CC/USD,BUY,0.103330,193.554631,967.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0049)
2026-09-08T13:56:48.767997+00:00,ASTER/USD,BUY,0.750690,26.642156,947.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0052)
2026-09-08T13:56:48.768010+00:00,SHIB/USD,BUY,0.000005,3713330.857779,927.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0052)
2026-09-08T13:56:48.768024+00:00,BONK/USD,BUY,0.000003,6493506.493506,907.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0058)
2026-09-08T13:56:48.768037+00:00,ONDO/USD,BUY,0.373310,53.574777,887.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0058)
2026-09-08T13:56:48.768051+00:00,XMR/USD,BUY,502.190000,0.039826,867.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0059)
2026-09-08T13:56:48.768064+00:00,PENDLE/USD,BUY,2.207000,9.062075,847.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0060)
2026-09-08T13:56:48.768077+00:00,NEAR/USD,BUY,2.281700,8.765394,827.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0063)
2026-09-08T13:56:48.768090+00:00,WIF/USD,BUY,0.215400,92.850511,807.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0070)
2026-09-08T13:56:48.768103+00:00,UNI/USD,BUY,6.851300,2.919154,787.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0075)
2026-09-08T13:56:48.768117+00:00,RAY/USD,BUY,1.078000,18.552876,767.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0079)
2026-09-08T13:56:48.768129+00:00,NIGHT/USD,BUY,0.022880,874.125874,747.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0083)
2026-09-08T13:56:48.768164+00:00,SKR/USD,BUY,0.021223,942.373840,727.44,RSI aşırı satımdan çıkış | Risk ağırlıklı bütçe: 20.00 USD (volatilite: 0.0090)
2026-09-08T17:44:56.022112+00:00,ICP/USD,SELL,2.939000,6.572461,746.76,Stop-loss (%3) | PnL: -0.68 (-3.42%)
2026-09-08T17:44:56.022211+00:00,CC/USD,SELL,0.106880,193.554631,767.44,RSI aşırı alımdan düşüş | PnL: 0.69 (3.44%)
2026-09-08T17:44:56.022257+00:00,RAY/USD,SELL,1.137000,18.552876,788.54,Take-profit (%5) | PnL: 1.09 (5.47%)
2026-09-08T20:20:57.652750+00:00,XMR/USD,SELL,498.780000,0.039826,808.40,MA Death Cross | PnL: -0.14 (-0.68%)
2026-09-08T20:20:57.652839+00:00,PENDLE/USD,SELL,2.136000,9.062075,827.76,Stop-loss (%3) | PnL: -0.64 (-3.22%)
2026-09-08T22:53:46.465180+00:00,USDG/USD,SELL,1.000100,20.000000,847.76,MA Death Cross | PnL: 0.00 (0.01%)
2026-09-08T22:53:46.465285+00:00,XDC/USD,SELL,0.028770,703.234880,867.99,RSI aşırı alımdan düşüş | PnL: 0.23 (1.16%)
2026-09-09T01:02:19.337585+00:00,TRX/USD,SELL,0.339345,59.794486,888.28,RSI aşırı alımdan düşüş | PnL: 0.29 (1.45%)
2026-09-09T01:02:19.337685+00:00,ASTER/USD,SELL,0.750890,26.642156,908.29,MA Death Cross | PnL: 0.01 (0.03%)
2026-09-09T01:02:19.337736+00:00,SKR/USD,SELL,0.022834,942.373840,929.81,Take-profit (%5) | PnL: 1.52 (7.59%)
